Period,Value
2012-05-01,54.00
2012-06-01,52.50
2012-07-01,51.40
2012-08-01,51.50
2012-09-01,51.10
2012-10-01,51.00
2012-11-01,52.80
2012-12-01,54.00
2013-01-01,55.80
2013-02-01,54.30
2013-03-01,54.60
2013-04-01,52.10
2013-05-01,52.30
2013-06-01,51.90
2013-07-01,53.10
2013-08-01,52.80
2013-09-01,52.80
2013-10-01,51.80
2013-11-01,54.70
2013-12-01,55.00
2014-01-01,53.70
2014-02-01,57.10
2014-03-01,55.50
2014-04-01,55.40
2014-05-01,56.20
2014-06-01,57.30
2014-07-01,55.80
2014-08-01,57.90
2014-09-01,57.50
2014-10-01,55.90
2014-11-01,54.80
2014-12-01,53.90
2015-01-01,53.90
2015-02-01,55.10
2015-03-01,55.70
2015-04-01,54.10
2015-05-01,54.00
2015-06-01,53.60
2015-07-01,53.80
2015-08-01,53.00
2015-09-01,53.10
2015-10-01,54.10
2015-11-01,52.80
2015-12-01,51.20
2016-01-01,52.40
